"title","num_posts","views","votes","freshness"
"<a href=""https://www.econjobrumors.com/topic/why-are-we-obsessed-with-a-story-even-for-empirical"">Why are we obsessed with a story, even for empirical</a>","26","765","4-2","<a href=""https://www.econjobrumors.com/topic/why-are-we-obsessed-with-a-story-even-for-empirical/page/2#post-3563161"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/a-guide-to-success-in-tinder-for-bros"">A guide to success in tinder for bros</a>","7","296","0-0","<a href=""https://www.econjobrumors.com/topic/a-guide-to-success-in-tinder-for-bros#post-3563156"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/german-market"">German Market</a>","27424","3131615","382-219","<a href=""https://www.econjobrumors.com/topic/german-market/page/1372#post-3563145"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/lee-ohanian-to-asu"">Lee Ohanian to ASU</a>","29","1061","2-1","<a href=""https://www.econjobrumors.com/topic/lee-ohanian-to-asu/page/2#post-3563143"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/intuition-in-economics"">Intuition in Economics</a>","38","6986","1-0","<a href=""https://www.econjobrumors.com/topic/intuition-in-economics/page/2#post-3563139"">1 hour</a>"
"<a href=""https://www.econjobrumors.com/topic/figa"">Figa</a>","202","8210","3-1","<a href=""https://www.econjobrumors.com/topic/figa/page/11#post-3563129"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/how-to-make-principles-classes-interesting"">How to make principles classes interesting</a>","21","624","0-1","<a href=""https://www.econjobrumors.com/topic/how-to-make-principles-classes-interesting/page/2#post-3563120"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/i-am-going-to-fail-my-qualifier"">I am going to fail my qualifier</a>","4","131","0-0","<a href=""https://www.econjobrumors.com/topic/i-am-going-to-fail-my-qualifier#post-3563098"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/cea-meeting-2017"">CEA Meeting 2017</a>","29","921","5-0","<a href=""https://www.econjobrumors.com/topic/cea-meeting-2017/page/2#post-3563090"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/saturday-night-dog-game"">Saturday night dog game</a>","1","19","0-0","<a href=""https://www.econjobrumors.com/topic/saturday-night-dog-game#post-3563089"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/turnaround-faster-in-the-summer"">Turnaround faster in the summer?</a>","2","75","0-0","<a href=""https://www.econjobrumors.com/topic/turnaround-faster-in-the-summer#post-3563086"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/work-in-portugal"">Work in Portugal</a>","60","3351","2-0","<a href=""https://www.econjobrumors.com/topic/work-in-portugal/page/3#post-3563083"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/google-scholar-summer-bump"">Google Scholar summer bump</a>","6","437","0-0","<a href=""https://www.econjobrumors.com/topic/google-scholar-summer-bump#post-3563079"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/i-only-need-3-more-a-pubs-to-make-tenure"">I only need 3 more A pubs to make tenure</a>","15","1302","1-0","<a href=""https://www.econjobrumors.com/topic/i-only-need-3-more-a-pubs-to-make-tenure#post-3563078"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/if-all-academic-were-required-to-lift-for-two-hours-a-day"">If all academic were required to lift for two hours a day...</a>","5","122","0-0","<a href=""https://www.econjobrumors.com/topic/if-all-academic-were-required-to-lift-for-two-hours-a-day#post-3563076"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/marketing-job-market-2018"">Marketing Job Market 2018</a>","173","13294","0-1","<a href=""https://www.econjobrumors.com/topic/marketing-job-market-2018/page/9#post-3563075"">2 hours</a>"
"<a href=""https://www.econjobrumors.com/topic/confession-of-an-economist-4"">Confession of an economist</a>","7","155","0-1","<a href=""https://www.econjobrumors.com/topic/confession-of-an-economist-4#post-3563072"">2 hours</a>"
